Issuer Name,Issuer Homepage,MSRB Issuer Identifier,Issuer Type,Date Retrieved,State Abbreviation,State FIPS
KASAAN ALASKA LEASE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=7DF71974C1C092C316F9AA8AB241FCAF&type=G,7DF71974C1C092C316F9AA8AB241FCAF,City,03/28/2024,AK,02
KASAAN ALASKA REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=AE3022D9BD3CEB53BDC766E4D84DCB0E&type=G,AE3022D9BD3CEB53BDC766E4D84DCB0E,City,03/28/2024,AK,02
KENAI ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=305374FD489B15F16FD2733C07D36B7C&type=G,305374FD489B15F16FD2733C07D36B7C,City,03/28/2024,AK,02
KENAI ALASKA ARPT REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=8EBA3CC4E7BDF4BC8CAB2372E3B6EC11&type=G,8EBA3CC4E7BDF4BC8CAB2372E3B6EC11,City,03/28/2024,AK,02
KENAI ALASKA ELEC LT & PWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=EAC1DA473CA64BF15205F0BF1683F0C9&type=G,EAC1DA473CA64BF15205F0BF1683F0C9,City,03/28/2024,AK,02
KENAI PENINSULA BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=C966A798A64D8D1A671A231F2909D931&type=G,C966A798A64D8D1A671A231F2909D931,City,03/28/2024,AK,02
KETCHIKAN ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=6F2B082BCE92B5A7B46E578AB4011E9A&type=G,6F2B082BCE92B5A7B46E578AB4011E9A,City,03/28/2024,AK,02
KETCHIKAN ALASKA MUN UTIL REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=1DA21E7FF00CCF5F7E53234FA86DA5D0&type=G,1DA21E7FF00CCF5F7E53234FA86DA5D0,City,03/28/2024,AK,02
KETCHIKAN ALASKA SPL ASSMT DIST NO 90-1,https://emma.msrb.org/IssuerHomePage/Issuer?id=C21F1293608C20EC418AC854E3300BE6&type=G,C21F1293608C20EC418AC854E3300BE6,City,03/28/2024,AK,02
KETCHIKAN GATEWAY BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=017ACA3971CFE28DCCCDEF594F25232C&type=G,017ACA3971CFE28DCCCDEF594F25232C,City,03/28/2024,AK,02
KODIAK ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=CBF1F184E111DB6D1F671B6335FA5B38&type=G,CBF1F184E111DB6D1F671B6335FA5B38,City,03/28/2024,AK,02
KODIAK ALASKA INDPT SCH DIST,https://emma.msrb.org/IssuerHomePage/Issuer?id=2667354F7297E43A25ACDF65F792F67C&type=G,2667354F7297E43A25ACDF65F792F67C,City,03/28/2024,AK,02
KODIAK ISLAND BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=2782A1F4837DA144BF654A48EBDEDC6B&type=G,2782A1F4837DA144BF654A48EBDEDC6B,City,03/28/2024,AK,02
KOYUKUK ALASKA REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=B5B21AAFBF791D2B3D50BE6447E3AB3A&type=G,B5B21AAFBF791D2B3D50BE6447E3AB3A,City,03/28/2024,AK,02
MANIILAQ ASSN ALASKA REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=010A6FF39033EB194075C8C0E4D35D7C&type=G,010A6FF39033EB194075C8C0E4D35D7C,City,03/28/2024,AK,02
MATANUSKA-SUSITNA BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=BC50FB257286B9511D8D5DB4F6B21BD6&type=G,BC50FB257286B9511D8D5DB4F6B21BD6,City,03/28/2024,AK,02
MATANUSKA-SUSITNA BORO ALASKA CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=3B29E2794A20BF7D0C32234D8EA7475E&type=G,3B29E2794A20BF7D0C32234D8EA7475E,City,03/28/2024,AK,02
MATANUSKA-SUSITNA BORO ALASKA LEASE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=3255DB852AE154D3A19A71F69C7C650F&type=G,3255DB852AE154D3A19A71F69C7C650F,City,03/28/2024,AK,02
NOME ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=0D5A0AFEAE8CBD4B6DAA3346C47AD96C&type=G,0D5A0AFEAE8CBD4B6DAA3346C47AD96C,City,03/28/2024,AK,02
